row_id,OBJECTID,AADT,AADT_YEAR,CARTO_CLASS,FLOW_DIRECTION,FROM_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,FROM_STREET,LANES,OWNERSHIP,ROADSEGMENTID,SOURCE,SOURCE_DATE,SPEED_LIMIT,STREET,SUBCATEGORY,TO_LEFT_ADDRESS,TO_RIGHT_ADDRESS,TO_STREET,Shape__Length
1,52806,2500,2003,LOCAL STREET,TWOWAY,21,22,HALLS LANE E,2,KIT,6616,REG PLAN 367,2003-04-22T00:00:00.000000,40,EBY ST S,LOCAL,25,22,CHARLES ST E,34.4172917344677
2,52807,416,2021,LOCAL STREET,TWOWAY,9,14,EBY ST N,2,KIT,6617,REG PLAN 364,2003-04-22T00:00:00.000000,40,EBY ST S,LOCAL,17,18,HALLS LANE E,65.8781974555466
3,52808,750,2004,LOCAL STREET,TWOWAY,11,10,COLTON CIR,2,KIT,600059,58M-331,2004-10-07T00:00:00.000000,40,PEBBLECREEK DR,LOCAL,35,50,COUNTRY CLAIR ST,147.193489230949
4,52810,500,2004,LOCAL STREET,TWOWAY,27,22,COLTON CIR,2,KIT,600299,58M-331,2004-10-07T00:00:00.000000,40,COLTON CIR,LOCAL,345,74,AMELIA ST,169.607253508149
5,52811,902,2023,LOCAL STREET,TWOWAY,146,127,SIEBERT AVE,2,KIT,22973,REG PLAN 812,2002-08-13T00:00:00.000000,40,CLARK AVE,LOCAL,236,243,SIEBERT AVE,408.046692595579
6,52812,2551,2022,COLLECTOR,TWOWAY,255,256,CARLIN AVE,2,KIT,13325,REG PLAN 923,2003-04-22T00:00:00.000000,40,DIXON ST,MINOR,321,306,CARWOOD AVE,288.6906715372
7,52815,1333,2003,LOCAL STREET,TWOWAY,104,97,BROADMOOR AVE,2,KIT,10101,REG PLAN 812,2002-08-13T00:00:00.000000,40,CLARK AVE,LOCAL,110,121,SIEBERT AVE,102.61641506154
8,52817,300,2003,LOCAL STREET,TWOWAY,73,64,DINISON PL,2,KIT,9510,REG PLAN 1466,2002-08-13T00:00:00.000000,40,DINISON CRES,LOCAL,235,216,ALBION ST,506.216285770654
9,52818,2000,2003,LOCAL STREET,TWOWAY,15,20,OTTAWA ST S,2,KIT,11524,REG PLAN 384,2003-04-22T00:00:00.000000,40,HOFFMAN ST,LOCAL,15,24,DONLEY ST,106.915381297041
10,52819,1200,2003,LOCAL STREET,TWOWAY,221,226,ELKINGTON DR,2,KIT,9920,REG PLAN 937,2003-04-22T00:00:00.000000,40,ROSEMOUNT DR,LOCAL,253,300,BURLINGTON DR,236.4612552406
11,52823,450,2003,LOCAL STREET,TWOWAY,163,160,END,2,KIT,540407,REG PLAN 58M-182,2003-02-10T00:00:00.000000,40,REDTAIL ST,LOCAL,167,168,HAWKSWOOD DR,83.018481940124
12,52824,15000,2003,ARTERIAL,TWOWAY,278,257,SIMEON ST,4,REG,10165,REG PLAN 339,2003-04-22T00:00:00.000000,50,WEBER ST E,MAJOR,296,291,SIMEON ST,173.228356304379
13,52829,17279,2015,ARTERIAL,TWOWAY,724,721,JACKSON AVE,4,REG,10015,REG PLAN 657,2003-04-22T00:00:00.000000,50,WEBER ST E,MAJOR,760,825,MONTGOMERY RD,431.493839536387
14,52830,450,2003,LOCAL STREET,TWOWAY,81,82,ELIZABETH ST,2,KIT,10379,REG PLAN 660,2003-09-09T00:00:00.000000,40,OXFORD ST,LOCAL,157,156,UNION ST,309.588598373516
15,52831,200,2003,LOCAL STREET,TWOWAY,61,48,HELEN AVE,2,KIT,15979,REG PLAN 689,2003-04-22T00:00:00.000000,40,LIMERICK DR,LOCAL,137,134,GREENSVIEW DR,345.957154942683
16,52834,1271,2023,COLLECTOR,TWOWAY,1117,1118,COUNTRYSTONE PL,2,KIT,20432,OTHER,2003-12-18T00:00:00.000000,40,COUNTRYSTONE DR,MINOR,1161,1180,RESURRECTION DR,157.784996615712
17,52835,600,2003,LOCAL STREET,TWOWAY,123,138,TUDOR ST,2,KIT,600164,58M-346,2005-03-24T00:00:00.000000,40,NEWCASTLE DR,LOCAL,161,166,ROCKCLIFFE DR,172.2341979105
